f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,y
0.8994776024719655,0.24836495840564032,0.030171819607541894,0.0724471471300776,0.874164494836568,0.5584303506361035,0.9160473572967236,0.6334604460251978,0.28325261043244654,0.3653688095726194,1.0
0.7051707660213118,0.6485090391504161,0.040908773046269276,0.21173176488980283,0.0014899231440292926,0.1389716570060212,0.21182539405928136,0.026094932968026563,0.44608735315201387,0.23910530780327288,0.0
0.09158743708637163,0.9774523549854752,0.4115013900860226,0.4583046696146128,0.5259092476140733,0.2944155436108078,0.9721159443127209,0.18144419860587824,0.3034064189420709,0.17445413484391337,0.0
0.6352723120800127,0.4962033478230712,0.01412639810103955,0.6272221918217772,0.6349750657740466,0.10814148995712247,0.8296425970548955,0.5177521661701842,0.5706834444223221,0.5463330462648589,1.0
0.4500781089979491,0.8765067431120909,0.5373556486620917,0.49568415078486017,0.4182720848820861,0.8510062847642639,0.38685271277986444,0.6068950295480381,0.21784097165529825,0.9129443317679092,1.0
0.8563980036961928,0.18029326955715153,0.9485192577638469,0.3841634015444212,0.2513879254015521,0.9674664385988021,0.7704804535226353,0.44685195544783907,0.1981385363107212,0.6598226680166988,1.0
0.5784892720072857,0.8562356407962975,0.3576418876605928,0.4762381459613987,0.5459231995164718,0.7950829810597515,0.14462443291810123,0.018029189491701292,0.38532152866103997,0.9061455408900552,0.0
0.0017949151739502511,0.21423679868681356,0.2830602173590364,0.5948164574157125,0.42567027572479876,0.5220766337823163,0.7808240129463233,0.20788283095288806,0.7686178190000469,0.595954676182316,0.0
0.17517080328984413,0.4547536996106726,0.461878649592651,0.7978119902024516,0.05104486547152609,0.42406091972491455,0.12353177458429865,0.9161231148268882,0.21946651163501785,0.05925714354416467,0.0
0.5637329865323518,0.599512009527253,0.16696084733818928,0.915744207515824,0.22667433664786618,0.0908589105099461,0.6894440602085602,0.391173067846458,0.3203422265489043,0.722016118900555,1.0
0.7534560623859211,0.8898613696097316,0.3380639424812508,0.1977494855374422,0.864116399612837,0.962722006007856,0.7395139045995889,0.6740865900700798,0.3774648183644582,0.7947735411009444,1.0
0.2116475540034688,0.8249249346465725,0.07361593991176973,0.6369957081901528,0.30390828409214543,0.06961847522783715,0.6813591276085434,0.5666700538782582,0.7835180822736498,0.09187575992286978,0.0
0.6256333483324825,0.9900468097976174,0.39381296426578594,0.21415101618055388,0.6935159172407548,0.03563161762738476,0.4624693361966723,0.5376256494871187,0.5229280295020607,0.4649367484426502,0.0
0.11044642373029046,0.9265596914176905,0.12695858354896794,0.846597584743029,0.031227386431077142,0.39436205447499384,0.5824412953384589,0.2543767079745728,0.29824782254060755,0.21741806901977567,0.0
0.2586803221160686,0.9151662233616046,0.0860515036649887,0.7232622762749704,0.6975470259162915,0.957632711993688,0.5955550339504336,0.19404115216428475,0.5365360903558157,0.567582682303811,0.0
0.5696691468555436,0.16752003678029637,0.9543243558582173,0.9400054722037652,0.7047139528375662,0.8158565744288728,0.8802533599580425,0.33373983395666906,0.01715600028404274,0.690215320410436,1.0
